,name,item_num,order_num,supplier_num,machine_num,objVal_MIP,Runtime,Gap,lowerBound,finished_item_num,finished_order_num,objVal_LBBD,Runtime,Gap,lowerBound,iterNum,finished_item_num,finished_order_num,objVal_B&CH,Runtime,Gap,lowerBound,finished_item_num,finished_order_num
0,1,1,1,1,1,1.0,1.0,1,1.0,1,1,1.0,1.0,1.0,1.0,1,,,,,,,,
1,B_10_uat_1_full_针织,30,89,14,28,13.825863318725169,31.3482608795166,0.00%,12.504993785586116,30,89,13.57910584754427,2.439887046813965,0.0,13.57910584754427,1,30.0,89.0,14.132573056391266,22.082746505737305,0.00%,12.88922573187148,30.0,89.0
2,B_11_da_type_2_online_solve_梭织,40,114,15,36,595.9970474060174,68.80681419372559,0.00%,544.6635400146988,39,112,567.2343471825661,1.8919308185577393,0.0,567.2343471825661,1,39.0,112.0,589.3136464284107,7.433507919311523,0.00%,537.7884185496878,39.0,112.0
3,B_12_da_type_2_online_solve_梭织,30,85,9,16,3592.611175967635,3.2317428588867188,0.00%,3520.0,27,73,3613.6577241754785,0.4330313205718994,0.0,3613.6577241754785,1,27.0,73.0,3675.1720518482143,1.7429618835449219,0.00%,3520.0,27.0,73.0
4,B_13_da_type_2_online_solve_梭织,30,92,8,14,5000.812007157343,4.078512191772461,0.00%,4533.223803262133,26,79,4937.602354486069,0.5125775337219238,0.0,4937.602354486069,1,26.0,79.0,4975.384844680157,0.5922451019287109,0.00%,4870.091061411815,26.0,79.0
5,B_14_da_type_2_online_solve_梭织,40,104,14,32,3669.429115634288,39.369333267211914,0.00%,3589.9999999999936,37,96,3730.479510846668,0.892268180847168,0.0,3730.479510846668,1,37.0,96.0,3678.037512590752,3.6246776580810547,0.00%,3592.1861798010905,37.0,96.0
6,B_15_da_type_2_online_solve_梭织,29,81,14,27,687.3273664298649,23.215646743774414,0.00%,622.7311576014617,28,79,676.3420233125617,0.875220775604248,0.0,676.3420233125617,1,28.0,79.0,669.6821196812052,6.715427398681641,0.00%,616.6638816955799,28.0,79.0
7,B_16_da_type_2_online_solve_毛织,30,97,9,23,2919.138777315573,116.41365242004395,0.00%,2630.0000000000036,28,91,2931.6061023754664,1.0142505168914795,0.0,2931.6061023754664,1,28.0,91.0,2972.279828698305,1.4842472076416016,0.00%,2736.666666666668,28.0,91.0
8,B_17_da_type_2_online_solve_毛织,40,120,10,25,9960.448781960804,298.0836486816406,0.00%,8989.200219188464,34,100,9987.085440499657,1.822725772857666,0.0,9987.085440499657,1,34.0,100.0,9989.177219048695,4.546779632568359,0.00%,9112.22222219903,34.0,100.0
9,B_18_da_type_2_online_solve_毛织,40,120,9,22,1639.8200537423254,51.011884689331055,0.00%,1610.0,39,117,1632.430551931233,1.625633955001831,0.0,1632.430551931233,1,39.0,117.0,1669.6717347370286,1.4389572143554688,0.00%,1610.0,39.0,117.0
10,B_19_da_type_2_online_solve_针织,30,95,7,13,0.3423211261688266,65.51289939880371,0.00%,0.3423211261688266,30,95,0.34232112617610255,1.6869161128997803,0.0,0.34232112617610255,1,30.0,95.0,0.34232112617610255,10.24312973022461,0.00%,0.3423211261724646,30.0,95.0
11,B_1_uat_1_full_梭织,30,66,11,18,1895.4807303920607,1.5720787048339844,0.00%,1790.0,27,60,1965.3952865835527,0.4095768928527832,0.0,1965.3952865835527,1,27.0,60.0,1968.7835436233363,0.6587314605712891,0.00%,1790.0,27.0,60.0
12,B_20_da_type_2_online_solve_针织,30,103,9,20,1.1316666450438788,82.8507080078125,0.00%,1.0307325482156204,30,103,1.0492444415103819,4.3385210037231445,0.0,1.0492444415103819,1,30.0,103.0,1.049244441499468,26.273801803588867,0.00%,1.0244021023405154,30.0,103.0
13,B_21_da_type_2_online_solve_针织,40,139,8,17,1.7028033340466209,120.81117248535156,0.00%,1.7028033340466209,40,139,1.7028033340466209,2.7947516441345215,0.0,1.7028033340466209,1,40.0,139.0,1.7028033340466209,30.385940551757812,0.00%,1.7028033340459894,40.0,139.0
14,B_22_da_type_2_online_solve_针织,40,136,12,23,1394.7312810903386,74.76114845275879,0.00%,1343.0897633798324,39,132,1418.0175418593135,2.0252017974853516,0.0,1418.0175418593135,1,39.0,132.0,1409.4095100789636,2.9050521850585938,0.00%,1369.4613909154505,39.0,132.0
15,B_23_da_type_2_online_solve_针织,30,90,6,11,3.553383082846267,23.74692153930664,0.00%,3.5533830828443875,30,90,3.6053386319872516,0.8136703968048096,0.0,3.6053386319872516,1,30.0,90.0,3.5533820821110567,13.815887451171875,0.00%,3.48301748475933,30.0,90.0
16,B_2_uat_1_full_梭织,28,69,7,22,5446.523095058134,1.0490169525146484,0.00%,5411.561125065504,21,49,5447.23119704581,0.27777695655822754,0.0,5447.23119704581,1,21.0,49.0,5462.328832779678,0.3116779327392578,0.00%,5415.41144777973,21.0,49.0
17,B_3_uat_1_full_梭织,28,60,6,17,8672.659475342663,1.5651130676269531,0.00%,8590.0,22,42,8643.105874011031,0.2440187931060791,0.0,8643.105874011031,1,22.0,42.0,8643.5320582195,0.5112419128417969,0.00%,7785.343816741737,22.0,42.0
18,B_4_uat_1_full_梭织,30,70,10,37,3004.9873741368756,1.5544090270996094,0.00%,2980.416365832156,28,61,3065.7573024126577,0.346637487411499,0.0,3065.7573024126577,1,28.0,61.0,3057.544446723743,0.4016456604003906,0.00%,2980.0,28.0,61.0
19,B_5_uat_1_full_梭织,30,78,5,12,9762.9335770777,1.170846939086914,0.00%,9592.273221095209,23,57,9748.69660636233,0.2640190124511719,0.0,9748.69660636233,1,23.0,57.0,9729.412623755965,0.3219146728515625,0.00%,9720.840106546912,23.0,57.0
