,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,lowerBound,iteration,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1.0
1,C_10_uat_1_full_针织,80,235,14,28,1640.0,7.94111704826355,1640.0,2,检查正确,79,230,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
2,C_11_da_type_2_online_solve_梭织,100,284,5,7,45661.6129032258,3.883519411087036,45661.6129032258,1,检查正确,55,153,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
3,C_12_da_type_2_online_solve_梭织,80,238,16,32,4180.0,5.476491928100586,4180.0,1,检查正确,77,230,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
4,C_13_da_type_2_online_solve_梭织,100,281,14,34,10575.167543149946,18.56438422203064,10575.167543149946,1,检查正确,94,265,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
5,C_14_da_type_2_online_solve_梭织,80,234,13,26,6320.0,6.327175855636597,6320.0,1,检查正确,76,220,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
6,C_15_da_type_2_online_solve_梭织,80,236,16,35,7170.0,6.254241228103638,7170.0,1,检查正确,76,220,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
7,C_16_da_type_2_online_solve_毛织,80,261,10,25,13410.0,31.0119948387146,13410.0,1,检查正确,73,234,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
8,C_17_da_type_2_online_solve_毛织,80,255,9,23,14310.0,11.415645837783813,14310.0,1,检查正确,72,226,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
9,C_18_da_type_2_online_solve_毛织,80,259,9,22,22785.69571363744,36374.01392555237,22785.69571363744,1,检查正确,67,211,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
10,C_19_da_type_2_online_solve_毛织,80,256,9,22,26116.130144365437,154.62721014022827,26116.130144365437,1,检查正确,65,202,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
11,C_1_uat_1_full_梭织,100,230,6,21,8730.0,1.852323055267334,8730.0,1,检查正确,90,209,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
12,C_20_da_type_2_online_solve_针织,80,249,14,31,1820.0,2.819208860397339,1820.0,1,检查正确,79,245,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
13,C_21_da_type_2_online_solve_针织,100,298,8,17,0.0,2.292494535446167,0.0,1,检查正确,100,298,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
14,C_22_da_type_2_online_solve_针织,100,294,7,15,2870.0,2.6054673194885254,2870.0,1,检查正确,98,287,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
15,C_23_da_type_2_online_solve_针织,100,295,15,30,1820.0,2.945709705352783,1820.0,1,检查正确,99,291,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
16,C_24_da_type_2_online_solve_针织,80,259,8,17,0.0,1.4320831298828125,0.0,1,检查正确,80,259,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
17,C_2_uat_1_full_梭织,80,190,11,39,7510.0,3.44195818901062,7510.0,2,检查正确,74,174,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
18,C_3_uat_1_full_梭织,100,226,13,47,0.0,1.983881950378418,0.0,1,检查正确,97,226,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
